Input,Output
" I’m sure the older people, especially Alzheimer’s sufferers, will be thrilled to have this technicolour berk waving his pronouns & proclivities in their faces.","Term for cis people, implying that trans people are unhygienic"
 are you kidding? And why the hell you need diversity in EVERY SINGLE MOVIE?! Even if this is baes on novel? Why force it? And There was Samuel L. Jackson so it´s not like there was noone...,Diversity is making things worse
" Over the past decades we've talked of curtailing government spending so that we can then lower the tax burden. Sometimes we've even taken a run at doing that. But there were always those who told us that taxes couldn't be cut until spending was reduced. Well, you know, we can lecture our children about extravagance until we run out of voice and breath. Or we can cure their extravagance by simply reducing their allowance...We must increase productivity. That means making it possible for industry to modernize and make use of the technology which we ourselves invented. That means putting Americans back to work. And that means above all bringing government spending back within government revenues, which is the only way, together with increased productivity, that we can reduce and, yes, eliminate inflation. ","Government social aid programs, perceived to primarily help minorities, are destroying the country's economy"
 Pence: I've literally met with African American leaders around this country and in the national capital area who've- who made it clear to us they- they want law and order. They- they want peace in our streets.,Black lives don't matter
" @jk_rowling Hey remember what the great wizard once said It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends. 🏁 ",Transphobic signal representing idea that there are only two sexes
 We are proud to hang these Thin Blue Line flags in Government House to honor our brave law enforcement officers. A local elected official prohibiting police from displaying a flag given to them by a grateful child is disgraceful. ,Protect white people from non-white people
" As president, I will protect the sanctity of life. I will honor the traditional marriage. And I will guarantee America's first liberty: the freedom of religion. ",Opposition to gay marriage
" A fundamental change is needed in how we treat gender dysphoria, yes. But another equally important change is the need for more non-ideologically captured, non-affirming therapys and doctors to take on the care of those with regret.",conversion therapy practitioner
" The Political Class live in a world of wealth and power, and they don’t play by the same rules that you and I do. The Political Class operates above the law – literally, above it and lording over it. Since they make the laws, they can rewrite them to suit themselves. They pull the strings on the mainstream press establishment by playing games with information and power. As a result, the Political Class has been able to line its own pockets while much of the economy has gone to shambles. ",Jewish people who control the world
" these American taxpayers are living up to their own responsibilities, supporting their own children, and it is a brutally unfair law which requires them to also support the children of the deadbeats who abandon them to welfare. ",Black men are irresponsible
" Just as in a previous generation we had an organized effort against the mob. We need to take these people on. They are often connected to big drug cartels, they are not just gangs of kids anymore. They are often the kinds of kids that are called superpredator—no conscience, no empathy. We can talk about why they ended up that way, but first, we have to bring them to heel. ",Black men are threatening
" And you look across the board at things like the fact that, you know, we have the dissolution of the family in so many respects. We have fatherless children children on the rise in America. We have the loss of religion in so many aspects of our country, where it was a foundation of our country at one time. You can't discount the rise of social media and the role that that has played in things like this. ",Black men are irresponsible
 We know that poverty and overpopulating our country affect us all.,There are too many non-white people in the world
" I'm with you 100%. The ONLY good thing I see to come out of this, is that this is the biggest red-pill to normie MAGAS we could ever administer, this is a nuclear blast. We no longer have /our guy/ in there, and the fraud is naked before us all. ","Someone who holds alt-right or red-pilled political beliefs, often referring to Trump"
" Sean, I've had a couple individuals tell me that after the so-called 'white voters' in Iowa and New Hampshire weighed in heavily, especially in Iowa, for Hussein Obama and then in New Hampshire, Hillary kind of made a little bit of a comeback. There has been a conscious effort by Bubba [Bill] Clinton to smear and to slime Hussein Obama on the race issue ",Obama has a connection to Islam and is therefore threatening and untrustworthy
" Every day more women are joining the fight for women’s rights, a reality it seems the TRA never really planned for.",person who supports the transgender rights movement
 When men who say they are women have their penises inverted and a blind cavity engineered into their perineum why do women have to tolerate this surgical cavity being described as a “vagina”? We should protest it is deeply insulting and misogynistic ,Trans woman's neovagina
 #IStandWithJKRowling because she wrote a series of books that made readers out of millions of children and adolescents.,"Transphobic signal by referring to supporting JK Rowling, who has publicly communicated transphobic views "
 Wow its already got 1400 comments in the last 88 minutes ,"White supremacist signal that refers to the 14 Words by white supremacist David Lane and the number 88, or HH, as code for Heil Hitler"
 I will be enjoying Christmas and behaving as I please without needing permission from some bugmen bureaucrat. ,"Left-wingers who are hollow, technology- and trend-obsessed consumerists."
 Good Morning America! And all our brothers and sisters around the world!,White supremacist signal connected to ecofascism
" In 1996, President Clinton and a bipartisan Congress helped end welfare as we know it by requiring work for welfare. But on July 12, President Obama quietly announced a plan to gut welfare reform, welfare overhaul by dropping the work requirement. Under Obama’s plan, you wouldn’t have to work and wouldn’t have to train for a job. They just send you a welfare check. And welfare-to-work goes back to being plain old welfare. Mitt Romney will restore the work requirement because it works. ",Eliminate government aid to racial minorities
 This entire thread is a good goy joke. Azov and Right Sector are the Kosherist Kippa wearing joke Nazis who work for people named Nudelman and Kagan the world has ever seen.,Jewish person
" Hollywood mogulss continue to do everything they can to support Radical Raphael and Jon Ossoff, as the cast of Whose Line Is It Anyway? hosts a virtual fundraiser for Georgia’s radical liberal Democrat candidates for Senate.",Jewish people who control the media
 Culture-Enrichers Who Pushed Man in Front of a Train Released From Custody ,Muslims create problems in society
" Everyone hates you and that’s why you shut your replies on all your tweets, you megalomaniacal soyboi weirdo. [Quote tweet of Bill Gates]",liberal or establishment Republican men
 Look at all these car salesmen getting ready for Shillary to cuck their country away. ,Liberal
 Nimble navigator here. how do i photoshop a maga hat on something...plz halp. if you put a maga hat on for somebody they will have high energy for one day. if you teach a man to put maga hats on..they will become the highest of centipedess. -me ,Trump supporter
" In furtherance of our faith in the individual, we also pledge the maximum restraint of Federal intrusions into matters more productively left to the individual. For instance, we pledge:",Support for racial segregation in schools
" Last June, biking champion Kate Weatherly, who identifies as a trans woman, lamented the new exclusion of trans-woman-identified athletes from certain women’s sports. The rules now applied to women’s swimming would ban Weatherly from women’s biking if they were applied there as well. These comments led the hashtag #savewomenssports to trend on Twitter, showing that many people welcome new rules that keep women’s sports open only to biological females. This idea is controversial, but it shouldn’t be…",Trans women are a threat to cis women
 🤣🤣🤣hoe is right get ready for them too rule the 25th amendment soon though they're trying to always pull the wool over our eyes but we see the real truth he's liberaltards Oi Oi 1488 & 2316 ,White supremacist signal that stands for White Power based on letter position in the alphabet
"_](  These strikes were conducted in the exercise of our right of self-defense under Article 51 of the United Nations Charter. This necessary and appropriate action was a pre-emptive strike, directed against the Libyan terrorist infrastructure and designed to deter acts of terrorism by Libya, such as the Libyan-ordered bombing of a discotheque in West Berlin on April 5. Libya's cowardly and murderous act resulted in the death of two innocent people—an American soldier and a young Turkish woman—and the wounding of 50 United States Armed Forces personnel and 180 other innocent persons.  ",Unprovoked attack
" There are women in the Green Party fighting for women's rights. Sadly, not among the leadership who all repeat the TWAW mantra",Trans people are predators
" Do you support the cancel culture? The cosmopolitan elites of Nancy Pelosi, Chuck Schumer, and Joe Biden, who blame America first? Do you think America is to blame? Or, do you believe in American greatness? Believe in yourself? In President Trump? In individual and personal responsibility? They want to destroy this country and everything that we have fought for and hold dear. They want to steal your liberty, your freedom. They want to control what you see and think and believe so that they can control how you live. They want to enslave you to the weak, dependent, liberal victim ideology to the point that you will not recognize this country or yourself ",Jewish
 TRANSGENDER BOYS DOMINATE HIGH SCHOOL GIRLS AT STATE TRACK MEET...,Trans people are drug abusers
" This is stunning and brave, from an assigned female at birth (AFAB) trans woman. ",Transphobic joke that a cis woman can claim to identify as a trans woman
" We are stopping cold the attacks on Judeo-Christian values values...You know, we're getting near that beautiful Christmas season that people don't talk about anymore. They don't use the word Christmas because it's not politically correct. You go to department stores, and they'll say, Happy New Year, and they'll say other things. And it will be red, they'll have it painted, but they don't say it. Well, guess what? We're saying Merry Christmas again. ",Muslims threaten Christian society
 Pronoun-perversity is a particularly nasty form of class warfare & turned me harder against the left than googles/skypes/skittles combined  ,Muslim person
 We must bring the truth directly to hard-working Americans who want to take our country back. #BigLeagueTruth ,White Americans
" Don’t worry guys our intelligence and federal law enforcement may be too busy to monitor foreign radical Islamic extremists, but rest assured if your grandmother took a selfie somewhere within 1500 miles of D.C. on J6 they’re watching her closely if she hasn’t been arrested already ",Muslim people as a whole are a threat
 Er I am an ACTUAL woman not a feeling 🟥😂😂😂 ,"Transphobic persona signal, specifically signals opposition to letting trans women use women's bathrooms and shelters"
 #detransitioners! 🦎,Self-referential signal for detransitioners that are now anti-trans
 Our society is at peak corruption… fraud is widespread… our politicians and central bankers engage in insider trading…,White supremacist signal originating in 4chan troll meme that clowns are racist
" Things that, bizarrely, have to be said in 2022, thanks to Trans, Inc.: - Human beings aren't clownfish. - Lesbians don't like penises. - Men can't get pregnant. - Only women have a cervix. - It's wrong to mutilate children.",Trans people are ridiculous for thinking that humans can change sex
 It's astonishing to me that woman is being redefined because a tiny minority of men wish to be included in that definition. And @AnnelieseDodds is left unable to articulate what she and half of the population are. Astonishing ,Trans women
" Quality has declined as federal intervention has increased. Nothing has created more bitterness, for example, than mandatory busing to achieve racial balance. It was born of a hope that we could increase understanding and reduce prejudice and antagonism. And Im sure we all approved of that goal. But busing has failed to achieve the goal. Instead, it has increased the bitterness and animosity it was supposed to reduce. Californias Superintendent of Public Instruction, Wilson Riles (himself a Black), says The concept that Black children cant learn unless they are sitting with white children is utter and complete nonsense. Well, I agree. The money now being wasted on this social experiment could be better spent to provide the kind of school facilities every child deserves. Forced busing should be ended by legislation if possible by constitutional amendment if necessary. And, control of education should be returned to local school districts. ",Opposition to racial integration
" As there are now over 70 people confirmed dead and over 1,000 missing, the fires in CA are a horrific tragedy. I’m praying for all involved! I’m posting this in speculation because there are too many coincidences to ignore… I find it very interesting that Roger Kimmel on the board of directors of PG&E is also Vice Chairman of Rothschild Inc, an international investment banking firm. I also find interesting the long history of financial contributions that PG&E has made to Jerry Brown over the years and millions spent in lobbying…Space solar generators collect the suns energy and then beam it back to Earth to a transmitter to convert to electricity. The idea is clean energy to replace coal and oil. If they are beaming the suns energy back to Earth, I’m sure they wouldn’t ever miss a transmitter receiving station right??!! I mean mistakes are never made when anything new is invented. What would that look like anyway? A laser beam or light beam coming down to Earth I guess. Could that cause a fire? Hmmm, I don’t know. I hope not! That wouldn’t look so good for PG&E, Rothschild Inc, Solaren, Or Jerry Brown….Seems like there’s a lot of connected people in this crowd. And with these space solar generators, I really hope they have very good aim beaming the suns power down to Earth… ",Jewish people control all the money
 Only Beto males support Beta O'Rourke ,Liberal men
" If you’re not incredulous about that, you will be about the data on women who are ‘AAP’.",Trans man
" And we’re going to work on our g-ghettoess, are so–The– you take a look at what’s going on, whether you have pockets of, areas of land where you have the inner cities and you have so many things, so many problems. So many horrible, horrible problems...The violence. The death. The lack of education. No jobs. We’re going to work with the African-American community and we’re going to solve the problem of the inner city. ",Low-income Black neighborhood
 The Der Untermensch cope never ends,Americans aren't really white
" Recently, advocates of climate alarmism have grown increasingly desperate to try to convince the public that global warming is the greatest moral issue of our generation. Just last week, the vice president of London's Royal Society sent a chilling letter to the media encouraging them to stifle the voices of scientists skeptical of climate climate alarmism. During the past year, the American people have been served up an unprecedented parade of environmental climate alarmism by the media and entertainment industry, which link every possible weather event to global warming. The year 2006 saw many major organs of the media dismiss any pretense of balance and objectivity on climate change coverage and instead crossed squarely into global warming advocacy.",People are overreacting about climate change being a problem
 I think that ur Marxist police state apparatus is appalling & that u shud be prosecuted under the Edict of Expulsion Act 1290 AD ,Antisemitic signal that is a reference to the year Jews were expelled from England
 So it’s gender woo woo day and I’d like to share Kylie who pretended to be pregnant then pretended to have a stillbirth. Then tried to raise money for a doll to help him grieve. He was in a pg & birth group where women supported him & some were thrown out for telling the truth. ,Trans people want to escape reality
,African American neighborhoods
 The trans lobby literally coined the term Cotton Ceiling. Please educate yourself before making these really bad claims. This is erasing lesbians in broad daylight  _Speaker_: Martina Navratilova (tennis player),Trans people are threatening cis lesbians
 Just a positively spectacular Cohencidence that,Jewish conspiracy
" Moderator: Mr. President, if there were a vacancy in the Supreme Court and you had the opportunity to fill that position today, who would you choose and why?",Signal opposition to abortion by equating it to slavery
 Open a restaurant at full capacity: illegal,Mexicans are manipulating the immigration system
" White people don't dominate Hollywood, it's quite another ethnic group who hate White people.",Jews are pushing for immigration to ruin other countries except for Israel
" In fact, as you just heard Tiffany say, white people are a mortal danger to you and your loved ones. They threaten your life. Are they poisoning the well or baking bread with the blood of your children? If not, according to Tiffany Cross and MSNBC, they’re fully capable of doing those things. ",Jewish people infect non-Jews with diseases and/or harmful ideas
" damn the shirt is fire, six million wasn't enough btw ","Antisemitic signal that stands for 6 million wasn't enough, referring to the number of Jews killed in the Holocaust "
" To my good friend, my good liberal friend here, the SNAP program, it's not called food stamps anymore. It's called SNAP -- supplemental what? And nutrition. What about liquor, lap dances, and pot is nutritional? ",Government assistance for minorities
" Today, Romney for President launched its newest television ad, Not Politically Correct. The ad highlights Governor Romney's record of fighting for conservative principles in the bluest of blue states. When it was not politically correct, Governor Romney stood up for life, required English in the classroom and fought for marriage as between a man and a woman. Governor Romney believes that we can strengthen America by bringing pro-family, conservative change to Washington. ",Anti-gay
" And speaking of cleaning up, while we're at it, we've got to clean up our streets by fighting the scourge of drugs and its accomplice, violent crime. Our children deserve a chance to avoid drugs, through a vigorous antidrug campaign in the schools. Users and addicts deserve a chance to go clean through treatment. But society also deserves a chance, by sending the drug dealers where they belong -- to do time, hard time.  ",over-policing of Black and Latino neighborhoods and mass incarceration of their residents 
 Might I suggest you reach out to YWNBAW? Very likely to help shed light on the situation. ,trans women are not women
 So it’s #GenderWooWoo day and I’d like to share Kylie who pretended to be pregnant then pretended to have a stillbirth. Then tried to raise money for a doll to help him grieve. He was in a pg & birth group where women supported him & some were thrown out for telling the truth. ,Trans people want to escape reality
 I think Jewish people that vote for a Democrat — I think it shows either a total lack of knowledge or great disloyalty. ,Jews are disloyal to their country
" Studies show that more than 90% of Americans support mandatory labeling of genetically engineered (GE) foods. Yet for twenty years we have been denied that right. While our reasons for wanting to know what’s in our food may vary, what unifies us is the belief that it’s our just label it. Without labeling of GE foods, we cannot make informed choices about our food. The Just Label It campaign was created to advocate for the labeling of GE foods. ",Eliminating genetic engineering in the food industry
 #IREJECTCIS,Transphobic slogan referring to claim that trans women are just dressing up as women
" Without a single Republican vote, Democrats authorized 87,000 more IRS agents – doubling the size of the agency – all to pull as many dollars as they can away from hardworking families and small businesses so they can fund liberal projects and appease their radical base with more government handouts. ",Any money that the government gives to support vulnerable people
" Zionist forces using the infamous and sometimes fatal “knee-on-neck” repression technique, which they have exported to Black and brown communities in the US through deadly-exchange programs. ",Jews are responsible for American police brutality
 We must bring the truth directly to hardworking Americans who want to take our country back. #BigLeagueTruth ,White Americans
" If you visit a restaurant, bar etc and you hated the gender neutral or ‘trans inclusive’ toilets - ie ‘mixed-sex’ - write a review on TripAdvisor saying so. If the mixed-sex loos put you off visiting again, add that too. Only way to get some people to listen is a negative review ",Environment that accommodates both trans and cis women
" What's at stake here is our ability to take the basic part of the world, the Middle East, that has been the seed bed from which these terrorists have grown, that have attacked the United States and have been engaged in this war on terrorism now that goes back for a good many years. If we can successfully stand up good, solid governments, able to control their sovereign territory, representative of their people, that never again become safe havens for terrorists who are involved in producing weapons of mass destruction in Afghanistan and in Iraq, we will have struck a blow at the basic, fundamental foundations of terrorism in the world which they're not likely to be able to recover from. ",War on Arab and Muslim people
 Calling all frens! we have to bopped the non-frens and clowns! they are invadin our home:( ,"Kill or attack, particularly political opponents"
" Ben Garrison is an independent political cartoonist based in Northwest Montana. Ben began drawing cartoons in 2009 to protest the central banker bailout, bloated government and the slide toward tyranny. Ben’s cartoons have been seen by millions of people around the world.",Jewish people who control all the money
 #fakenewsalert I said “end those Muslims” referring only to the radical radical Islamic terrorist who had killed 14 in CA the day before in 2015. And you deleted the last part of my quote “before they walk in and kill us”. Please correct your tweet. I was only advocating self defense. ,Muslim people as a whole are a threat
" Burn the coal, pay the toll. [Quote tweet of post that says Jealous Ex GF beats up Baby Daddy's new boo😬] ",White woman having sex with a Black man
" In the future, if we get indexing planted firmly as a law of the land, the advocates of big government who want money, more money for their social spending, their social engineering schemes, will have to go to the people and say right out loud: We want more money from your weekly paycheck, so we're raising your taxes. Do that instead of sneaking it out by way of inflation, which they have helped bring on. ",Federal assistance
 He wants merit-based. That would cut legal immigration by bringing in the best and the brightest. So we don't bring in some guy's uncle from Zimbabwe. ,stop non-white immigration
 Because who now listens to the American middle? The cosmopolitan agenda has driven both Left and Right...Our national solidarity has been broken by the globalizing and liberationist policies of the cosmopolitan agenda. Now we must forge it anew.,Jewish control
" A mountain of evidence shows climate climate alarmists never learn from their mistakes, be they clear misstatements of facts or repeatedly failed prognostications.","Person who is overreacting about climate change, which the speaker does not view as a major problem"
" Second, working class anxiety. Most Americans know someone who has gotten hammered in the marketplace. Most Americans do not have much money in the bank. Do the math. Trump says, he will punish concerns that steal American jobs and are unfair on the trade front.  ",Anxiety about non-white people becoming equal economically and socially
" You can identify as a VW Golf for all I care, makes no odds to me. Doesn't make you a VW Golf, though. ",Trans people are ridiculous
" This week, we have twice seen Supreme Court Justices violating their judicial oaths. Yesterday, the Justices re-wrote Obamacare, yet again, in order to force this failed law on the American people. Today, the Court doubled down with a 5-4 opinion that undermines not just the definition of marriage, but the very foundations of our representative form of government. Both decisions were activist judge, plain and simple. Both were lawless...",Judges ruling in liberals' favor
" We can't even open clubs on campuses because they only allow one club per issue and feminists opened one for men already. Except it isn't about men's rights, it's about how men can protect women better. I'm not kidding. If we get blocked opening a discussion clubs - ",a white supremacist meeting
" We are stopping cold the attacks on Judeo-Christian values...You know, we're getting near that beautiful Christmas season that people don't talk about anymore. They don't use the word Christmas because it's not politically correct. You go to department stores, and they'll say, Happy New Year, and they'll say other things. And it will be red, they'll have it painted, but they don't say it. Well, guess what? We're saying Merry Christmas again. ",Muslims threaten Christian society
" A mountain of evidence shows climate alarmistss never learn from their mistakes, be they clear misstatements of facts or repeatedly failed prognostications.","Person who is overreacting about climate change, which the speaker does not view as a major problem"
" Woke-ism, multi-kulti, all the -isms — they're not who America is. They distort our glorious founding and what this country is all about. Our enemies stoke these divisions because they know they make us weaker. ",Too many Muslims
 If you don’t think there’s at least a tiny chance you’re an Wojak … you’re an Wojak ,Liberal person
 haven't been able to be completely entertained in many months. today I watched Black Widow and sat in awe the entire time. it felt so good to get out of my head. 🕸️♀️ 💚🤍💜 ,"Transphobic signal, especially to indicate membership in a transphobic social network"
" Why are jews now saying they arent white in order to claim a status of victimhood? For years, i kept seeing them refer to europeans as (((fellow whites))) when they wanted to fight our supposedly privilege. What changed?",Jewish people are masquerading as white people in order to tell them what to do
" A fundamental change is needed in how we treat gender dysphoria, yes. But another equally important change is the need for more non-ideologically captured, non-affirming therapistss and doctors to take on the care of those with regret.",conversion therapy practitioner
" The decade of the sixties was also a period of great growth economically. But in that same 10-year period we witnessed the greatest growth of crime, the greatest increase in inflation, the greatest social unrest in America in 100 years. Never has a nation seemed to have had more and enjoyed it less…",Racial minorities threaten white people's safety
 Are you telling me Joe Biden was interviewed by this brave and stunning “lady” today? ,Trans women are showered with undue praise just for existing
